id	F
514	0.0
515	0.8863
516	1.3549
517	2.823
518	1.4413
519	1.3433
520	0.9009999999999999
521	3.6673
522	6.2436
523	0.0
524	0.0
525	4.3376
526	2.9354
527	0.0
528	0.0
529	1.9409
530	5.2839
531	2.3359
532	1.3130000000000002
533	2.0349
534	2.8227
535	0.0
536	3.3233
537	0.0
538	0.0
539	0.0
540	0.0
541	0.0
542	0.0
543	3.0121
544	0.0
545	0.0
546	0.0
547	2.0713
548	0.0
549	0.0
550	0.0
551	0.0
552	0.0
553	0.0
554	0.0
555	0.0
556	1.3326
557	0.0
558	0.0
559	0.0
560	0.0
561	0.0
562	0.0
563	0.0
564	0.0
565	0.0
566	0.0
567	0.0
568	0.0
569	0.0
570	0.0
571	0.0
572	0.0
573	0.0
574	0.0
575	0.0
576	0.0
577	1.2354
578	1.4040000000000001
579	3.3631
580	0.0
581	0.0
582	1.4343
583	0.0
584	2.0577
585	2.3799
586	0.0
587	1.9143
588	1.8488
589	0.8886
590	0.8878
591	3.6772
592	1.5634
593	1.9796
594	0.0
595	1.7397
596	2.0056
597	4.4464
598	1.8864
599	1.2005
600	1.1153
601	1.1529
602	1.3147
603	3.7545
604	1.9119
605	0.0
606	1.9246
607	2.2347
608	1.8147
609	1.2741
610	0.0
611	0.0
612	2.4714
613	2.5038
614	1.054
615	2.4955
616	0.0
617	0.0
618	3.5998
619	1.4165
620	1.5111
621	0.0
622	0.0
623	0.0
624	0.0
625	2.7
626	0.0
627	0.0
628	1.4647
629	2.4444
630	0.0
631	2.1553
632	2.1929
633	0.0
634	0.0
635	1.9249
636	0.0
637	0.0
638	0.993
639	0.0
640	1.5134
641	0.0
642	0.0
643	0.0
644	0.0
645	0.0
646	0.0
647	0.0
648	0.0
649	0.0
650	0.9491
651	0.0
652	1.2458
653	0.9657
654	1.0468
655	1.2067
656	1.1026
657	2.2743
658	0.0
659	0.0
660	1.7961
661	1.6519
662	3.1147
663	1.5621
664	2.2225
665	3.5877
666	4.2966
667	1.4340000000000002
668	0.0
669	1.3165
670	2.1996
671	1.1054
672	3.2161
673	2.5723
674	0.0
675	1.5145
676	2.1407
677	2.9884
678	2.6693
679	0.8899
680	0.0
681	0.0
682	1.5423
683	0.0
684	2.4627
685	0.9572
686	1.6741
687	2.2125
688	2.1695
689	1.2229
690	0.0
691	1.6126
692	0.0
693	0.0
694	2.0738
695	1.8319999999999999
